"pr2_accession"	"tax"
"KX712124.1.1713_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX712128.1.1606_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX757032.1.1669_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680436.1.551_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680452.1.511_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680463.1.1423_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU893118.1.1760_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU893122.1.1743_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU893126.1.1760_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680435.1.551_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680439.1.551_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680455.1.1200_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680462.1.1423_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU893121.1.1729_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU893125.1.1763_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX017290.1.1770_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX453600.1.597_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KT881518.1.834_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX712126.1.1684_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KX712125.1.1687_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
"KU680421.1.551_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Coccidiomorphea; Adeleida; Adeleida_X; Karyolysus; Karyolysus_galloti"
