"pr2_accession"	"tax"
"EU273832.1.599_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB222344.1.538_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB222345.1.538_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB238159.1.589_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB238142.1.589_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB970052.1.539_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB970241.1.578_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"AB970020.1.575_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"APMI01020832.1.1218_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"GEUY01002075.1.1239_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"GQ844504.1.571_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"HQ998973.1.538_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"HQ999053.1.538_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
"HQ998885.1.538_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_sp."
