"pr2_accession"	"tax"
"KC972623.1.714_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KF356992.1.548_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KT279445.1.1603_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KT279453.1.1656_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KM502980.1.1549_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KM068038.1.1238_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KM985400.1.1225_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KU291445.1.942_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KM213394.1.1003_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX494989.1.1530_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495001.1.1661_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495017.1.1670_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495021.1.1675_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495025.1.1592_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495029.1.1677_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495037.1.1677_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495041.1.1674_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495044.1.1565_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495052.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495060.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495084.1.1679_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KT279454.1.1652_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX998869.1.1120_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KY434305.1.626_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KT852969.1.1694_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495011.1.1662_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495015.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495019.1.1677_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495054.1.1679_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495062.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495086.1.1669_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX494990.1.1628_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495010.1.1679_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495018.1.1679_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495022.1.1659_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495026.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495030.1.1676_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495038.1.1589_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495042.1.1677_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495053.1.1677_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495057.1.1668_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495061.1.1678_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KX495085.1.1676_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KU361147.1.1657_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
"KU948991.1.1709_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellales_X; Actinastrum; Actinastrum_hantzschii"
