"pr2_accession"	"tax"
"AY643488.1.1770_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_callocladum"
"AY168239.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_defectum"
"AY643485.1.1769_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_densum"
"AY168241.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_densum"
"AY168240.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_kylinii"
"AY168235.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_nipponicum"
"AY643489.1.1743_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_nipponicum"
"AY168238.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_sparsum"
"AY168237.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_sparsum"
"AF236787.1.1768_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnion; Antithamnion_sparsum"
"AF236788.1.1770_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnionella; Antithamnionella_floccosa"
"EU718681.1.1772_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnionella; Antithamnionella_miharai"
"AY168243.1.810_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnionella; Antithamnionella_sp."
"DQ022761.1.1656_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Antithamnionella; Antithamnionella_spirographidis"
"EU718683.1.1775_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Carpoblepharis; Carpoblepharis_flaccida"
"AY155521.1.1711_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ343657.1.1769_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ022759.1.1676_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ374381.1.1666_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ374383.1.1666_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ374380.1.1666_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ374382.1.1666_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"EU718708.1.1768_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_clavulatum"
"DQ374378.1.1668_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_gasparrinii"
"DQ374373.1.1668_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_gasparrinii"
"DQ374368.1.1668_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_gasparrinii"
"DQ374371.1.1668_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Ceramiaceae; Centroceras; Centroceras_gasparrinii"
