pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AH009062.1170.1738_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytridium	Chytridium_sp.	1	DU-DC2
AF164303.1.1080_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_annulatus	1	JEL114
AH009053.1.1080_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_annulatus	1	JEL114
KC812614.1.965_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_annulatus	1	
M59758.1.1707_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_confervae	1	81-1
AY349032.1.963_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_confervae	1	Barr97
DQ536487.1.1795_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_hyalinus	1	
AB586078.1.1746_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_hyalinus	1	NBRC 105430
EF014368.1.1080_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_hyalinus	1	JEL345
JN940940.1.1063_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_hyalinus	1	BR 558 (DAOM)
AY988501.1.965_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_hyalinus	1	MP004
DQ536486.1.1733_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	
DQ536483.1.1651_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	
DQ536482.1.1641_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	
AY349033.1.965_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	JEL91
AY349034.1.965_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	JEL165
AY349031.1.963_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_sp.	1	JEL176
AY988502.1.1660_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Chytriomyces	Chytriomyces_spinosus	1	JEL59
